financial_year,year,bank_name,gross_npa_opening,gross_npa_additions,gross_npa_reduction,gross_npa_writeoff,gross_npa_closing,net_npa_opening,net_npa_closing
FY2024-25,2025,JAMMU & KASHMIR BANK LTD,3956.18,952.91,879.85,424.4,3604.84,736.83,818.03
FY2024-25,2025,KARNATAKA BANK LTD,2578.42,1206.77,1054.58,328.53,2402.08,1129.177,1004.547
FY2024-25,2025,KARUR VYSYA BANK LTD,1041.64,481.85,185.11,696.58,641.8,297.97,166.21
FY2024-25,2025,KOTAK MAHINDRA BANK LTD.,5274.777298,6378.624693,2776.419627,2743.131758,6133.850606,1270.566389,1343.434968
FY2024-25,2025,NAINITAL BANK LTD,398.67,65.01,73.95,3.53,386.2,41.88,25.92
FY2024-25,2025,RBL BANK LTD,2270.97,4112.72,987.49,2930.73,2465.47,619.3,270.79
FY2024-25,2025,SOUTH INDIAN BANK LTD,3620.34,1176.44,954.23,1042.71,2799.84,1134.58,790.52
FY2024-25,2025,TAMILNAD MERCANTILE BANK LTD,575.0565363,177.7601563,169.5951415,27.09015965,556.1313914,335.8214398,160.4478545
FY2024-25,2025,YES BANK LTD.,3982.558,5090.351,2335.275,2802.022,3935.612,1329.731,800.139
FY2024-25,2025,AB BANK PLC,,,,,,,
FY2024-25,2025,AMERICAN EXPRESS BANKING CORP.,261.8794,2006.3593,1835.8914,137.0689,295.2784,38.1327,37.8159
FY2024-25,2025,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,,,,,,,
FY2024-25,2025,"BANK OF AMERICA , NATIONAL ASSOCIATION",,,,,,,
FY2024-25,2025,BANK OF BAHRAIN & KUWAIT B.S.C.,18.389702,4.708588,1.181141,16.737633,5.179516,2.889332,0.088446
FY2024-25,2025,BANK OF CEYLON,48.02,,12.32,,35.7,12.67,8.7
FY2024-25,2025,BANK OF CHINA LIMITED,,,,,,,
FY2024-25,2025,BANK OF NOVA SCOTIA,,,,,,,
FY2024-25,2025,BARCLAYS BANK PLC,0.1559,,,0.1559,,,
FY2024-25,2025,BNP PARIBAS,,,,,,,
FY2024-25,2025,CITIBANK N.A,196.0592,1282.457659,1282.50594,91.255425,104.755494,,
FY2024-25,2025,COOPERATIEVE RABOBANK U.A.,,,,,,,
FY2024-25,2025,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,2.929,,,,2.929,,
FY2024-25,2025,"CTBC BANK CO., LTD.",,,,,,,
FY2024-25,2025,DBS BANK INDIA LIMITED,1792.6495,822.9323,476.6597,600.7796,1538.1425,125.1782,150.482607
FY2024-25,2025,DEUTSCHE BANK AG,761.7697,1117.4695,976.2496,260.6005,642.3891,190.5002,187.3697
FY2024-25,2025,DOHA BANK Q.P.S.C.,9.3734,,,,9.3734,5.4636,4.3376
FY2024-25,2025,EMIRATES NBD BANK (P.J.S.C.),,,,,,,
FY2024-25,2025,FIRST ABU DHABI BANK PJSC,,,,,,,
FY2024-25,2025,FIRSTRAND BANK LTD,,,,,,,
FY2024-25,2025,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,,,,,,
FY2024-25,2025,INDUSTRIAL BANK OF KOREA,,,,,,,
FY2024-25,2025,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,,,,,,,
FY2024-25,2025,JSC VTB BANK,,,,,,,
FY2024-25,2025,KEB HANA BANK,40.41,,22.05,18.36,,,
FY2024-25,2025,KOOKMIN BANK,10.3568,,,10.3568,,,
FY2024-25,2025,MASHREQ BANK PSC,,,,,,,
FY2024-25,2025,MIZUHO BANK LTD,6.34,,,6.34,,,
FY2024-25,2025,"MUFG BANK, LTD.",,,,,,,
FY2024-25,2025,NATWEST MARKETS PLC,,,,,,,
FY2024-25,2025,NONGHYUP BANK,,,,,,,
FY2024-25,2025,PT BANK MAYBANK INDONESIA TBK,,,,,,,
FY2024-25,2025,QATAR NATIONAL BANK (Q.P.S.C),,,,,,,
FY2024-25,2025,SBERBANK,21.875,,8.308892,,13.566108,,
FY2024-25,2025,SBM BANK (INDIA) LIMITED,123.63269,70.52751,21.4128,9.831,162.9164,28.663773,45.944593
FY2024-25,2025,SHINHAN BANK,20.8607,30.350995,24.698,0.7156,25.798095,6.438755,16.334947
FY2024-25,2025,SOCIETE GENERALE,5.6371,,1.6949,,3.9422,,
FY2024-25,2025,SONALI BANK PLC,4.4977,1.4089,0.2728,,5.6338,0.2015,0.6863
FY2024-25,2025,STANDARD CHARTERED BANK,2674.368239,1648.294697,1251.256471,1054.875265,2016.5312,301.883446,285.569108
FY2024-25,2025,SUMITOMO MITSUI BANKING CORPORATION,,,,,,,
FY2024-25,2025,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,458.1303,271.1092,179.024,91.2726,458.9429,50.3015,38.5962
FY2024-25,2025,UBS AG,,,,,,,
FY2024-25,2025,UNITED OVERSEAS BANK LTD,,,,,,,
FY2024-25,2025,WOORI BANK,65.7771,,7.6031,58.174,,49.3328,
FY2024-25,2025,AU SMALL FINANCE BANK LIMITED,1237.400363,3995.604386,1584.800304,1171.174591,2477.029854,441.986969,832.340435
FY2024-25,2025,CAPITAL SMALL FINANCE BANK LIMITED,170.1832,84.4301,68.7692,0.5084,185.3357,85.0792,91.8372
FY2024-25,2025,EQUITAS SMALL FINANCE BANK LIMITED,821.2772,2031.6257,958.8217,826.3513,1067.7299,360.8988,354.1952
FY2024-25,2025,ESAF SMALL FINANCE BANK LIMITED,893.0451,1699.94,77.49,1224.93,1290.5651,413.79,539.64
FY2024-25,2025,JANA SMALL FINANCE BANK LIMITED,494.334,1859.12,1251.5,352.35,749.604,130.02,254.18
FY2024-25,2025,NORTH EAST SMALL FINANCE BANK LIMITED,99.203632,194.866194,23.753644,85.552497,184.763685,67.059588,135.595512
FY2024-25,2025,SHIVALIK SMALL FINANCE BANK LIMITED,42.7089,63.7602,14.9075,11.4351,80.1265,17.6338,17.6338
FY2024-25,2025,SURYODAY SMALL FINANCE BANK LIMITED,242.371623,743.732,22.4607,229.8061,733.836823,69.871831,457.021133
FY2024-25,2025,UJJIVAN SMALL FINANCE BANK LIMITED,612.524693,1128.834724,180.03745,865.43671,695.885257,76.292231,152.426266
FY2024-25,2025,UNITY SMALL FINANCE BANK LIMITED,360.2127,696.522764,138.732699,248.57,669.432765,50.383724,169.373724
FY2024-25,2025,UTKARSH SMALL FINANCE BANK LIMITED,417.578219,2108.166175,201.057851,470.302776,1854.383767,4.489248,905.273065
FY2024-25,2025,AIRTEL PAYMENTS BANK LIMITED,,,,,,,
FY2024-25,2025,FINO PAYMENTS BANK LIMITED,,,,,,,
FY2024-25,2025,INDIA POST PAYMENTS BANK LIMITED,,,,,,,
FY2024-25,2025,PAYTM PAYMENTS BANK LIMITED,,,,,,,
FY2024-25,2025,PAYMENTS BANKS,,,,,,,
FY2023-24,2024,BANK OF BARODA,36763.7,10396.53,4729.29,10597.31,31833.63,8384.32,7213.34
FY2023-24,2024,BANK OF INDIA,37685.56,7550.76,6304.5,9749.05,29182.77,8053.61,6845.26
FY2023-24,2024,BANK OF MAHARASHTRA,4334.0,1255.2,766.18,989.97,3833.05,435.173993,408.990151
FY2023-24,2024,CANARA BANK,46159.0,10626.0,4355.0,11825.0,40605.0,14349.0,11823.0
FY2023-24,2024,CENTRAL BANK OF INDIA,18386.25,5124.35,2168.81,10001.45,11340.34,3591.72,3001.95
FY2023-24,2024,INDIAN BANK,28179.53,6769.93,5121.93,8721.22,21106.31,4043.07,2222.58
FY2023-24,2024,INDIAN OVERSEAS BANK,14071.5466,1648.51,1711.8,7213.83,6794.4266,3266.01,1216.85
FY2023-24,2024,PUNJAB AND SIND BANK,5648.21,971.19,1158.09,795.96,4665.35,1411.5,1350.46
FY2023-24,2024,PUNJAB NATIONAL BANK,77327.67,5826.2,10553.59,16257.23,56343.05,22585.04,6798.77
FY2023-24,2024,STATE BANK OF INDIA,90927.78,20316.9,10806.98,16161.37,84276.33,21466.64,21051.08
FY2023-24,2024,UCO BANK,7726.46,2072.39,1397.62,1937.92,6463.31,2018.02,1621.65
FY2023-24,2024,UNION BANK OF INDIA,60987.29,11876.65,11502.0,18264.21,43097.73,12927.44,8989.92
FY2023-24,2024,AXIS BANK LIMITED,17019.09,14404.64,8732.66,8346.03,14345.04,3439.11,3247.47
FY2023-24,2024,BANDHAN BANK LIMITED,5298.624703,5681.68,1545.08,4650.34298,4784.881723,1228.272438,1347.609458
FY2023-24,2024,CITY UNION BANK LIMITED,1920.16,1013.51,815.78,263.46,1854.43,1017.63,898.68
FY2023-24,2024,CSB BANK LIMITED,262.5604,175.7262,71.1279,6.0862,361.0725,71.8203,124.8996
FY2023-24,2024,DCB BANK LIMITED,1122.8377,1488.3881,1146.132,111.6278,1353.466,356.9195,454.3305
FY2023-24,2024,DHANLAXMI BANK LIMITED,511.149369,152.242434,151.65038,90.530811,421.210612,109.200381,126.467609
FY2023-24,2024,FEDERAL BANK LTD,4183.77,1741.53,1351.15,45.28,4528.87,1205.01,1255.33
FY2023-24,2024,HDFC BANK LTD.,18019.03,40262.1,16077.86,11029.95,31173.32,4368.43,8091.74
FY2023-24,2024,ICICI BANK LIMITED,29986.0742,18998.7893,15472.7442,6198.253294,27313.86601,5150.0699,5377.7934
FY2023-24,2024,IDBI BANK LIMITED,10969.0,3559.0,2627.0,2984.0,8917.0,1495.0,644.0
FY2023-24,2024,IDFC FIRST BANK LIMITED,3884.45,5257.78,2440.24,2983.63,3718.36,1304.05,1160.47
FY2023-24,2024,INDUSIND BANK LTD,5826.263554,6033.05,2695.34,2470.6,6693.373554,1714.959927,1968.899927
FY2023-24,2024,JAMMU & KASHMIR BANK LTD,5204.43,1111.62,1747.18,612.69,3956.18,1334.24,736.83
FY2023-24,2024,KARNATAKA BANK LTD,2292.9079,1650.2005,937.4684,427.22,2578.42,1021.2679,1129.177
FY2023-24,2024,KARUR VYSYA BANK LTD,1458.15,499.23,261.71,654.03,1041.64,468.15,297.97
FY2023-24,2024,KOTAK MAHINDRA BANK LTD.,5768.324032,5001.107355,3236.732705,2257.921384,5274.777298,1193.304984,1270.566389
FY2023-24,2024,NAINITAL BANK LTD,443.26,97.25,92.84,49.0,398.67,78.33,41.88
FY2023-24,2024,RBL BANK LTD,2419.86,2441.3,870.18,1720.01,2270.97,772.54,619.3
FY2023-24,2024,SOUTH INDIAN BANK LTD,3708.26,1395.48,1155.76,327.64,3620.34,1293.61,1134.58
FY2023-24,2024,TAMILNAD MERCANTILE BANK LTD,521.4609092,502.7742334,237.9371487,211.2414577,575.0565363,229.8252004,335.8214398
FY2023-24,2024,YES BANK LTD.,4394.572,5334.037,2984.029,2762.022,3982.558,1658.091,1329.731
FY2023-24,2024,AB BANK LIMITED,,,,,,,
FY2023-24,2024,AMERICAN EXPRESS BANKING CORP.,288.1172,1870.4554,1798.1033,98.5899,261.8794,41.4015,38.1327
FY2023-24,2024,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,,,,,,,
FY2023-24,2024,"BANK OF AMERICA , NATIONAL ASSOCIATION",,7.753967129,7.753967129,,,,
FY2023-24,2024,BANK OF BAHRAIN & KUWAIT B.S.C.,18.3579,0.650442,0.420574,0.198066,18.389702,13.399332,2.889332
FY2023-24,2024,BANK OF CEYLON,48.88,,0.86,,48.02,16.13,12.67
FY2023-24,2024,BANK OF CHINA LIMITED,,,,,,,
FY2023-24,2024,BANK OF NOVA SCOTIA,0.3615,,,0.3615,,,
FY2023-24,2024,BARCLAYS BANK PLC,31.5587,,,31.4028,0.1559,,
FY2023-24,2024,BNP PARIBAS,,,,,,,
FY2023-24,2024,CITIBANK N.A,207.2972,50.5978,58.4991,3.3367,196.0592,,
FY2023-24,2024,COOPERATIEVE RABOBANK U.A.,103.9326,,44.8102,59.1224,,37.9284,
FY2023-24,2024,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,2.929,,,,2.929,,
FY2023-24,2024,CREDIT SUISSE AG,,,,,,,
FY2023-24,2024,"CTBC BANK CO., LTD.",0.663957,,0.663957,,,,
FY2023-24,2024,DBS BANK INDIA LIMITED,2772.4209,585.9308,874.2273,691.4749,1792.6495,550.4187,125.1782
FY2023-24,2024,DEUTSCHE BANK AG,1747.9701,782.2061,961.4554,806.9511,761.7697,520.3435,190.5002
FY2023-24,2024,DOHA BANK Q.P.S.C.,26.4996,9.3734,9.3132,17.1864,9.3734,,5.4636
FY2023-24,2024,EMIRATES NBD BANK (P.J.S.C.),,3.4012,3.4012,,,,
FY2023-24,2024,FIRST ABU DHABI BANK PJSC,,,,,,,
FY2023-24,2024,FIRSTRAND BANK LTD,,,,,,,
FY2023-24,2024,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,,,,,,
FY2023-24,2024,INDUSTRIAL BANK OF KOREA,,,,,,,
FY2023-24,2024,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,,,,,,,
FY2023-24,2024,JSC VTB BANK,,,,,,,
FY2023-24,2024,KEB HANA BANK,40.41,,,,40.41,,
FY2023-24,2024,KOOKMIN BANK,,10.3568,,,10.3568,,
FY2023-24,2024,KRUNG THAI BANK PUBLIC COMPANY LIMITED,,,,,,,
FY2023-24,2024,MASHREQ BANK PSC,,,,,,,
FY2023-24,2024,MIZUHO BANK LTD,6.34,,,,6.34,,
FY2023-24,2024,"MUFG BANK, LTD.",,22.6739,22.6739,,,,
FY2023-24,2024,NATWEST MARKETS PLC,,,,,,,
FY2023-24,2024,NONGHYUP BANK,,,,,,,
FY2023-24,2024,PT BANK MAYBANK INDONESIA TBK,,,,,,,
FY2023-24,2024,QATAR NATIONAL BANK (Q.P.S.C),,,,,,,
FY2023-24,2024,SBERBANK,21.875,,,,21.875,,
FY2023-24,2024,SBM BANK (INDIA) LIMITED,97.475261,90.465811,30.575456,33.732926,123.63269,16.58614,28.663773
FY2023-24,2024,SHINHAN BANK,156.224635,4.949365,7.5286,132.7847,20.8607,10.905282,6.438755
FY2023-24,2024,SOCIETE GENERALE,78.9178,,,73.2807,5.6371,,
FY2023-24,2024,SONALI BANK,4.2384,0.2687,0.0094,,4.4977,0.0063,0.2015
FY2023-24,2024,STANDARD CHARTERED BANK,3232.789947,1472.043176,1463.596355,566.868529,2674.368239,375.184017,301.883446
FY2023-24,2024,SUMITOMO MITSUI BANKING CORPORATION,,,,,,,
FY2023-24,2024,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,523.5385,229.3713,194.6765,100.103,458.1303,83.2639,50.3015
FY2023-24,2024,UNITED OVERSEAS BANK LTD,55.4867,,4.9049,50.5818,,,
FY2023-24,2024,WOORI BANK,7.6031,65.7771,7.6031,,65.7771,,49.3328
FY2023-24,2024,AU SMALL FINANCE BANK LIMITED,981.312629,1698.192858,1037.109591,404.995533,1237.400363,286.158756,441.986969
FY2023-24,2024,CAPITAL SMALL FINANCE BANK LIMITED,152.6249,128.4298,110.5451,0.3264,170.1832,74.0465,85.0792
FY2023-24,2024,EQUITAS SMALL FINANCE BANK LIMITED,723.9646,1138.8712,809.5321,232.0265,821.2772,312.0164,360.8988
FY2023-24,2024,ESAF SMALL FINANCE BANK LIMITED,351.6978,894.91,47.4327,306.13,893.0451,157.89,413.79
FY2023-24,2024,FINCARE SMALL FINANCE BANK LIMITED,288.461559,594.919707,381.042233,302.806373,199.53266,113.022403,78.416494
FY2023-24,2024,JANA SMALL FINANCE BANK LIMITED,709.19,1110.96,1007.0275,318.7885,494.334,468.0044,130.02
FY2023-24,2024,NORTH EAST SMALL FINANCE BANK LIMITED,347.331611,255.24899,503.376969,,99.203632,27.163795,67.059588
FY2023-24,2024,SHIVALIK SMALL FINANCE BANK LIMITED,32.7338,16.5496,5.482,1.0925,42.7089,16.3026,17.6338
FY2023-24,2024,SURYODAY SMALL FINANCE BANK LIMITED,191.401326,196.326968,42.28191,103.074761,242.371623,92.976153,69.871831
FY2023-24,2024,UJJIVAN SMALL FINANCE BANK LIMITED,630.6094,479.779738,223.993373,273.871072,612.524693,9.0383,76.292231
FY2023-24,2024,UNITY SMALL FINANCE BANK LIMITED,3767.36379,168.4871,169.72129,3405.9169,360.2127,15.312387,50.383724
FY2023-24,2024,UTKARSH SMALL FINANCE BANK LIMITED,431.503628,469.191677,169.695376,313.42171,417.578219,50.511564,4.489248
FY2023-24,2024,AIRTEL PAYMENTS BANK LIMITED,,,,,,,
FY2023-24,2024,FINO PAYMENTS BANK LIMITED,,,,,,,
FY2023-24,2024,INDIA POST PAYMENTS BANK LIMITED,,,,,,,
FY2023-24,2024,PAYTM PAYMENTS BANK LIMITED,,,,,,,
FY2023-24,2024,PAYMENTS BANKS,,,,,,,
FY2022-23,2023,BANK OF BARODA,54059.4,11150.39,10099.27,18346.82,36763.7,13364.65,8384.32
FY2022-23,2023,BANK OF INDIA,45605.39,7968.83,7233.78,8654.88,37685.56,9851.92,8053.61
FY2022-23,2023,BANK OF MAHARASHTRA,5327.213,1629.7171,1132.354432,1490.572917,4334.002751,1276.57441,435.173993
FY2022-23,2023,CANARA BANK,55652.0,11979.0,8712.0,12760.0,46159.0,18668.0,14349.0
FY2022-23,2023,CENTRAL BANK OF INDIA,28156.22,4075.72,3587.44,10258.25,18386.25,6675.17,3591.72
FY2022-23,2023,INDIAN BANK,35214.25,7042.73,5693.03,8384.42,28179.53,8848.64,4043.07
FY2022-23,2023,INDIAN OVERSEAS BANK,15298.62,4472.431388,2276.761245,3422.743543,14071.5466,3824.63,3266.01
FY2022-23,2023,PUNJAB AND SIND BANK,8564.82,908.46,1541.78,2283.29,5648.21,1742.27,1411.5
FY2022-23,2023,PUNJAB NATIONAL BANK,92448.04,16028.92,14571.29,16578.0,77327.67,34908.73,22585.04
FY2022-23,2023,STATE BANK OF INDIA,112023.37,18420.64,15454.96,24061.27,90927.78,27965.71,21466.64
FY2022-23,2023,UCO BANK,10237.43,2096.03,2032.23,2574.77,7726.46,3315.78,2018.02
FY2022-23,2023,UNION BANK OF INDIA,79587.07,12518.6,11943.38,19175.0,60987.29,24303.3,12927.44
FY2022-23,2023,AXIS BANK LIMITED,18565.63,14253.58,9551.84,6248.28,17019.09,4745.3,3439.11
FY2022-23,2023,BANDHAN BANK LIMITED,6380.000758,9662.692987,2302.08,8441.989042,5298.624703,1564.229451,1228.272438
FY2022-23,2023,CITY UNION BANK LIMITED,1933.18,1329.03,812.5,529.55,1920.16,1191.1,1017.63
FY2022-23,2023,CSB BANK LIMITED,289.511037,81.076795,92.291258,15.736214,262.56036,106.9894,71.8214
FY2022-23,2023,DCB BANK LIMITED,1289.9347,1698.4584,1703.5125,162.0429,1122.8377,573.2306,356.9195
FY2022-23,2023,DHANLAXMI BANK LIMITED,533.536031,100.113073,117.766153,4.733582,511.149369,232.162559,109.200381
FY2022-23,2023,FEDERAL BANK LTD,4136.74,1719.13,1297.07,375.03,4183.77,1392.62,1205.01
FY2022-23,2023,HDFC BANK LTD.,16140.96,24536.31,11856.84,10801.4,18019.03,4407.68,4368.43
FY2022-23,2023,ICICI BANK LIMITED,33294.9243,18309.3833,17097.0354,4521.198,29986.0742,6931.0462,5150.0699
FY2022-23,2023,IDBI BANK LIMITED,34115.0,3750.0,4970.0,21926.0,10969.0,1864.0,1495.0
FY2022-23,2023,IDFC FIRST BANK LIMITED,4469.13,4543.05,2330.45,2797.28998,3884.44002,1808.07,1304.05
FY2022-23,2023,INDUSIND BANK LTD,5517.153876,6892.003459,2821.322314,3761.567591,5826.26743,1529.83,1714.959927
FY2022-23,2023,JAMMU & KASHMIR BANK LTD,6520.54,7446.61,7725.56,1037.16,5204.43,1750.1,1334.24
FY2022-23,2023,KARNATAKA BANK LTD,2250.8208,1836.6384,1288.2934,506.2579,2292.9079,1376.9662,1021.2679
FY2022-23,2023,KARUR VYSYA BANK LTD,3431.04,479.24,560.14,1891.99,1458.15,1260.79,468.15
FY2022-23,2023,KOTAK MAHINDRA BANK LTD.,6469.738491,3989.925541,3900.97,790.37,5768.324032,1736.712788,1193.302788
FY2022-23,2023,NAINITAL BANK LTD,507.95,122.34,178.93,8.1,443.26,163.61,78.33
FY2022-23,2023,RBL BANK LTD,2728.39,2754.7,1304.8,1758.43,2419.86,806.56,772.54
FY2022-23,2023,SOUTH INDIAN BANK LTD,3648.09,1513.22,1295.82,157.23,3708.26,1777.77,1293.61
FY2022-23,2023,TAMILNAD MERCANTILE BANK LTD,570.918549,271.351039,222.091657,98.717023,521.460909,317.581525,229.8252
FY2022-23,2023,YES BANK LTD.,27975.977,4775.111,10242.499,18114.017,4394.572,8204.532,1658.091
FY2022-23,2023,AB BANK LIMITED,,,,,,,
FY2022-23,2023,AMERICAN EXPRESS BANKING CORP.,227.3532,1986.104,1847.6865,77.6535,288.1172,20.492,41.4015
FY2022-23,2023,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,25.0,,25.0,,,,
FY2022-23,2023,"BANK OF AMERICA , NATIONAL ASSOCIATION",,534.612786,534.612786,,,,
FY2022-23,2023,BANK OF BAHRAIN & KUWAIT B.S.C.,17.4644,1.0085,0.115,,18.3579,13.8187,13.399332
FY2022-23,2023,BANK OF CEYLON,53.6,,4.72,,48.88,0.002085,0.001613
FY2022-23,2023,BANK OF CHINA LIMITED,,,,,,,
FY2022-23,2023,BANK OF NOVA SCOTIA,63.5243,,,63.1628,0.3615,,
FY2022-23,2023,BARCLAYS BANK PLC,111.2171,,,79.6584,31.5587,,
FY2022-23,2023,BNP PARIBAS,6.119397,,,6.119397,,,
FY2022-23,2023,CITIBANK N.A,758.604844,531.2316,731.6891,350.8494,207.297944,275.333548,0.000901
FY2022-23,2023,COOPERATIEVE RABOBANK U.A.,150.4678,40.7187,27.4618,59.7921,103.9326,65.9048,37.9284
FY2022-23,2023,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,2.929,,,,2.929,,
FY2022-23,2023,CREDIT SUISSE AG,,,,,,,
FY2022-23,2023,"CTBC BANK CO., LTD.",1.479957,,0.816,,0.663957,,
FY2022-23,2023,DBS BANK INDIA LIMITED,4533.8005,490.1558,647.7679,1603.7675,2772.4209,732.616996,550.418696
FY2022-23,2023,DEUTSCHE BANK AG,2731.6046,903.0175,1786.795,99.857,1747.9701,1304.5553,520.3435
FY2022-23,2023,DOHA BANK Q.P.S.C.,26.4996,,,,26.4996,8.8095,
FY2022-23,2023,EMIRATES NBD BANK (P.J.S.C.),,,,,,,
FY2022-23,2023,FIRST ABU DHABI BANK PJSC,,,,,,,
FY2022-23,2023,FIRSTRAND BANK LTD,,,,,,,
FY2022-23,2023,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,,,,,,
FY2022-23,2023,INDUSTRIAL BANK OF KOREA,,,,,,,
FY2022-23,2023,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,,,,,,,
FY2022-23,2023,JSC VTB BANK,,,,,,,
FY2022-23,2023,KEB HANA BANK,40.41,,,,40.41,11.81,
FY2022-23,2023,KOOKMIN BANK,,,,,,,
FY2022-23,2023,KRUNG THAI BANK PUBLIC COMPANY LIMITED,,,,,,,
FY2022-23,2023,MASHREQ BANK PSC,,,,,,,
FY2022-23,2023,MIZUHO BANK LTD,6.34,,,,6.34,,
FY2022-23,2023,"MUFG BANK, LTD.",,,,,,,
FY2022-23,2023,NATWEST MARKETS PLC,,,,,,,
FY2022-23,2023,PT BANK MAYBANK INDONESIA TBK,,,,,,,
FY2022-23,2023,QATAR NATIONAL BANK (Q.P.S.C),53.1482,,,0.9102,52.238,,
FY2022-23,2023,SBERBANK,41.345171,,5.610011,13.86016,21.875,,
FY2022-23,2023,SBM BANK (INDIA) LIMITED,93.236964,35.995025,18.379612,13.377116,97.475261,17.134693,16.58614
FY2022-23,2023,SHINHAN BANK,153.668038,3.309054,0.708167,0.04429,156.224635,28.025515,10.905282
FY2022-23,2023,SOCIETE GENERALE,78.9178,,,,78.9178,,
FY2022-23,2023,SONALI BANK,4.2384,,,,4.2384,,0.0063
FY2022-23,2023,STANDARD CHARTERED BANK,3886.350444,1229.317933,1460.248948,422.629482,3232.789947,397.906855,375.184017
FY2022-23,2023,SUMITOMO MITSUI BANKING CORPORATION,,,,,,,
FY2022-23,2023,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,643.7985,208.9508,230.6231,98.5877,523.5385,150.0981,83.2639
FY2022-23,2023,UNITED OVERSEAS BANK LTD,75.0,,19.5133,,55.4867,,
FY2022-23,2023,WOORI BANK,,7.6031,,,7.6031,,6.4626
FY2022-23,2023,AU SMALL FINANCE BANK LIMITED,924.378173,1239.882053,992.454945,190.492652,981.312629,271.845456,286.158756
FY2022-23,2023,CAPITAL SMALL FINANCE BANK LIMITED,117.1338,154.3729,118.7636,0.1182,152.6249,63.2306,74.0465
FY2022-23,2023,EQUITAS SMALL FINANCE BANK LIMITED,837.18,1087.09,790.47,409.84,723.96,479.47,312.01
